Water,OH,HH,HOH,OM,Charge O,Charge H,c6,c12,Sigma ,Epsilon,,,,sinthetaby2,costhetaby2,theta from costhetaby2,,,,
FF,nm,nm,Deg,nm,e,e,kJ/mol-nm3,kJ/mol-nm6,nm,kJ/mol,,,,,,,,,,
Lsolv_Top_variable,fillrohlam,fillrhhlam,,,fillqolam,fillqhlam,fillC6olam,fillC12olam,,,fillalam,fillblam,,,,,consistency_check,,,
SPC,0.1000000000,0.16329808600,109.47000,0.000000000,-0.8200000000,0.4100000000,0.0026184170,2.636964450E-06,0.31660,0.65000,0.00000000000,0.00000000000,,0.82,0.58,109.4700,0.00E+00,,,
SPC_E,0.1000000000,0.16329808600,109.47000,0.000000000,-0.8476000000,0.4238000000,0.0026184170,2.636964450E-06,0.31660,0.65000,0.00000000000,0.00000000000,,0.82,0.58,109.4700,0.00E+00,,,
TIP3P,0.0957200000,0.15139006500,104.52000,0.000000000,-0.8340000000,0.4170000000,0.0024897632,2.435151180E-06,0.31506,0.63640,0.00000000000,0.00000000000,,0.79,0.61,104.5200,0.00E+00,,,
TIP4P,0.0957200000,0.15139006500,104.52000,0.015000000,-1.0400000000,0.5200000000,0.0025498578,2.508400670E-06,0.31536,0.64800,0.12801206423,0.12801206423,,0.79,0.61,104.5200,0.00E+00,,,
TIP4P-EW,0.0957200000,0.15139006500,104.52000,0.012500000,-1.0484400000,0.5242200000,0.0027345115,2.745281150E-06,0.31644,0.68095,0.10667672019,0.10667672019,,0.79,0.61,104.5200,0.00E+00,,,
TIP4P_2005,0.0957200000,0.15139006500,104.52000,0.015460000,-1.1128000000,0.5564000000,0.0030797887,3.060104000E-06,0.31589,0.77490,0.13193776753,0.13193776753,,0.79,0.61,104.5200,0.00E+00,,,
OPC3,0.0978900000,0.15985249700,109.47000,0.000000000,-0.8952000000,0.4476000000,0.0027975793,2.861841610E-06,0.31743,0.68369,0.00000000000,0.00000000000,,0.82,0.58,109.4700,0.00E+00,,,
OPC,0.0872400000,0.13711631100,103.60000,0.015940000,-1.3582000000,0.6791000000,0.0035905056,3.620052370E-06,0.31666,0.89030,0.14772952080,0.14772952080,,0.79,0.62,103.6000,0.00E+00,,,
TIP4P-ST,0.0957200000,0.15139006500,104.52000,0.009890000,-1.0434400000,0.5217200000,0.0029827407,3.004438191E-06,0.31661,0.74030,0.08440262102,0.08440262102,,0.79,0.61,104.5200,0.00E+00,,,
TIP3P-ST,0.1023000000,0.16564024300,108.11000,0.000000000,-0.8511200000,0.4255600000,0.0025493350,2.699413868E-06,0.31926,0.60190,0.00000000000,0.00000000000,,0.81,0.59,108.1100,0.00E+00,,,
TIP4P-FB,0.0957200000,0.15139006500,104.52000,0.010520000,-1.0517400000,0.5258700000,0.0030157768,3.034549758E-06,0.31655,0.74928,0.08977912771,0.08977912771,,0.79,0.61,104.5200,0.00E+00,,,
GOPAL,0.0894642608,0.14166163700,104.69344,0.015192861,-1.2676837700,0.6338418850,0.0032850341,3.288916150E-06,0.31629,0.82029,0.13899619534,0.13899619534,,0.79,0.61,104.6934,0.00E+00,,,
,,,,,,,,,,,,,,,,,,,,
